system:index,CLOUD_COVER,CLOUD_COVER_LAND,EARTH_SUN_DISTANCE,ESPA_VERSION,GEOMETRIC_RMSE_MODEL,GEOMETRIC_RMSE_MODEL_X,GEOMETRIC_RMSE_MODEL_Y,IMAGE_QUALITY_OLI,IMAGE_QUALITY_TIRS,LANDSAT_ID,LEVEL1_PRODUCTION_DATE,PIXEL_QA_VERSION,SATELLITE,SENSING_TIME,SOLAR_AZIMUTH_ANGLE,SOLAR_ZENITH_ANGLE,SR_APP_VERSION,WRS_PATH,WRS_ROW,system:asset_size,system:band_names,system:bands,system:footprint,system:id,system:time_start,system:version,.geo
1_1_LC08_226061_20170711,16.8,16.78,1.016563,2_23_0_1a,7.6,4.624,6.031,9.0,9.0,LC08_L1TP_226061_20170711_20170726_01_T1,1.501034244E12,generate_pixel_qa_1.6.0,LANDSAT_8,2017-07-11T13:41:26.5348780Z,48.231091,36.41954,LaSRC_1.3.0,226.0,61.0,603337989,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-51.92862904464656,-2.4830008801762427, -51.881707702084945,-2.49312790374398, -51.88137833661147,-2.4929263975746383, -51.69696387856314,-1.6241043641637123, -51.51279399165686,-0.7548831231442431, -51.513327031468485,-0.7543464307236565, -51.746013067366974,-0.7044160350091827, -53.03026242319939,-0.42871447931315143, -53.14539256591386,-0.40399509778699505, -53.14655839414873,-0.40399479967516, -53.23929154981611,-0.8389337914644608, -53.31362878326771,-1.1876482836165092, -53.39917324516384,-1.5886479958255373, -53.44812803748076,-1.8179954170497141, -53.49382063504671,-2.032150493383655, -53.507396147221,-2.0958508257741, -53.516364256813354,-2.137995267571054, -53.516366237174246,-2.1392233608265077, -53.46334287793496,-2.1507447797493735, -53.20517981889551,-2.206740903570694, -52.18327933686815,-2.427982433428148, -51.92862904464656,-2.4830008801762427)",LANDSAT/LC08/C01/T1_SR/LC08_226061_20170711,1.49978048653E12,1522716144675684,"{""type"":""Polygon"",""coordinates"":[[[-51.92862904464656,-2.4830008801762427],[-51.881707702084945,-2.49312790374398],[-51.88137833661147,-2.4929263975746383],[-51.69696387856314,-1.6241043641637123],[-51.51279399165686,-0.7548831231442431],[-51.513327031468485,-0.7543464307236565],[-51.746013067366974,-0.7044160350091827],[-53.03026242319939,-0.42871447931315143],[-53.14539256591386,-0.40399509778699505],[-53.14655839414873,-0.40399479967516],[-53.23929154981611,-0.8389337914644608],[-53.31362878326771,-1.1876482836165092],[-53.39917324516384,-1.5886479958255373],[-53.44812803748076,-1.8179954170497141],[-53.49382063504671,-2.032150493383655],[-53.507396147221,-2.0958508257741],[-53.516364256813354,-2.137995267571054],[-53.516366237174246,-2.1392233608265077],[-53.46334287793496,-2.1507447797493735],[-53.20517981889551,-2.206740903570694],[-52.18327933686815,-2.427982433428148],[-51.92862904464656,-2.4830008801762427]]]}"
1_1_LC08_226062_20170609,3.3,3.3,1.015141,2_23_0_1a,8.21,6.257,5.314,9.0,9.0,LC08_L1TP_226062_20170609_20170616_01_T1,1.497585198E12,generate_pixel_qa_1.6.0,LANDSAT_8,2017-06-09T13:41:42.3107460Z,44.34137,37.069752,LaSRC_1.3.0,226.0,62.0,539493187,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.78514120220247,-3.5983579468885076, -52.465609486469006,-3.8838904574624236, -52.20765590770937,-3.9394747327174304, -52.20672378880844,-3.93575301926613, -52.022843170663776,-3.0702380315366953, -51.838749940544915,-2.2011403772043856, -51.84402761965301,-2.1999573981999494, -52.185617494190005,-2.1267891027851813, -52.92247952650661,-1.968710520797676, -53.39450849305421,-1.8672903856787377, -53.47401300001784,-1.8502060066341381, -53.47449585604237,-1.8511742203449737, -53.52755668221206,-2.099661385833676, -53.557498952057166,-2.2400179269405887, -53.611610324913855,-2.493430206474478, -53.72550045889979,-3.025649129529587, -53.77601343381627,-3.261913109483785, -53.83453129811291,-3.5355379746158215, -53.84512325631992,-3.5853289971594813, -53.826933479905044,-3.5892831881275726, -53.78514120220247,-3.5983579468885076)",LANDSAT/LC08/C01/T1_SR/LC08_226062_20170609,1.49701570231E12,1522716167485031,"{""type"":""Polygon"",""coordinates"":[[[-53.78514120220247,-3.5983579468885076],[-52.465609486469006,-3.8838904574624236],[-52.20765590770937,-3.9394747327174304],[-52.20672378880844,-3.93575301926613],[-52.022843170663776,-3.0702380315366953],[-51.838749940544915,-2.2011403772043856],[-51.84402761965301,-2.1999573981999494],[-52.185617494190005,-2.1267891027851813],[-52.92247952650661,-1.968710520797676],[-53.39450849305421,-1.8672903856787377],[-53.47401300001784,-1.8502060066341381],[-53.47449585604237,-1.8511742203449737],[-53.52755668221206,-2.099661385833676],[-53.557498952057166,-2.2400179269405887],[-53.611610324913855,-2.493430206474478],[-53.72550045889979,-3.025649129529587],[-53.77601343381627,-3.261913109483785],[-53.83453129811291,-3.5355379746158215],[-53.84512325631992,-3.5853289971594813],[-53.826933479905044,-3.5892831881275726],[-53.78514120220247,-3.5983579468885076]]]}"
1_1_LC08_226062_20170711,0.31,0.31,1.016563,2_23_0_1a,7.911,6.222,4.885,9.0,9.0,LC08_L1TP_226062_20170711_20170726_01_T1,1.501034277E12,generate_pixel_qa_1.6.0,LANDSAT_8,2017-07-11T13:41:50.4555690Z,47.006248,37.548145,LaSRC_1.3.0,226.0,62.0,519357707,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.407547492644646,-1.8601487404851584, -53.453299783356904,-1.8503173147852354, -53.45502284324424,-1.850314948938352, -53.49897877150268,-2.056275376604914, -53.603084631106256,-2.5441491744369538, -53.707447948896295,-3.031930060883797, -53.7686162615779,-3.318049959246414, -53.81866422404026,-3.5521224893188896, -53.8241399574346,-3.5778649774297566, -53.825624775208176,-3.585206456547455, -53.406202557097416,-3.6761822503046617, -52.53769727028773,-3.863956303384254, -52.23956434444695,-3.928211159126031, -52.18818993136873,-3.939267699837391, -52.1868975036178,-3.933679177341857, -52.003406643506324,-3.0697138337129224, -51.821839404158354,-2.2122903993884515, -51.819475089128744,-2.2008263547186036, -52.01696611187617,-2.1585398442729695, -53.17770274417621,-1.9095400887380196, -53.407547492644646,-1.8601487404851584)",LANDSAT/LC08/C01/T1_SR/LC08_226062_20170711,1.49978051046E12,1522716168243799,"{""type"":""Polygon"",""coordinates"":[[[-53.407547492644646,-1.8601487404851584],[-53.453299783356904,-1.8503173147852354],[-53.45502284324424,-1.850314948938352],[-53.49897877150268,-2.056275376604914],[-53.603084631106256,-2.5441491744369538],[-53.707447948896295,-3.031930060883797],[-53.7686162615779,-3.318049959246414],[-53.81866422404026,-3.5521224893188896],[-53.8241399574346,-3.5778649774297566],[-53.825624775208176,-3.585206456547455],[-53.406202557097416,-3.6761822503046617],[-52.53769727028773,-3.863956303384254],[-52.23956434444695,-3.928211159126031],[-52.18818993136873,-3.939267699837391],[-52.1868975036178,-3.933679177341857],[-52.003406643506324,-3.0697138337129224],[-51.821839404158354,-2.2122903993884515],[-51.819475089128744,-2.2008263547186036],[-52.01696611187617,-2.1585398442729695],[-53.17770274417621,-1.9095400887380196],[-53.407547492644646,-1.8601487404851584]]]}"
1_1_LC08_226062_20170727,1.57,1.57,1.015507,2_23_0_1a,7.187,5.47,4.662,9.0,9.0,LC08_L1TP_226062_20170727_20170810_01_T1,1.502377229E12,generate_pixel_qa_1.6.0,LANDSAT_8,2017-07-27T13:41:57.9839320Z,51.177116,35.970985,LaSRC_1.3.0,226.0,62.0,542730245,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-51.82841122217659,-2.200693128170248, -51.82968495063886,-2.2002651740266295, -52.27568754287613,-2.104737626702472, -53.41266873489679,-1.860684054392433, -53.464121771345255,-1.8496274119375518, -53.516558992549996,-2.0952936830232214, -53.6146992545232,-2.5552418932476653, -53.71416084431273,-3.0202555706993515, -53.779973190961414,-3.3280483084555987, -53.8294789557961,-3.559679826510496, -53.83249091643507,-3.574039130881949, -53.8346603929052,-3.584765587695291, -53.82073108221181,-3.5878098081490832, -52.45480336023428,-3.8833665405813607, -52.198485013725154,-3.938588518831004, -52.196886377823034,-3.9385908232287536, -52.19520846163167,-3.9307814608774367, -52.01299246433307,-3.0726897698203817, -51.8312827458952,-2.214456524296238, -51.82841122217659,-2.200693128170248)",LANDSAT/LC08/C01/T1_SR/LC08_226062_20170727,1.50116291798E12,1522716168851943,"{""type"":""Polygon"",""coordinates"":[[[-51.82841122217659,-2.200693128170248],[-51.82968495063886,-2.2002651740266295],[-52.27568754287613,-2.104737626702472],[-53.41266873489679,-1.860684054392433],[-53.464121771345255,-1.8496274119375518],[-53.516558992549996,-2.0952936830232214],[-53.6146992545232,-2.5552418932476653],[-53.71416084431273,-3.0202555706993515],[-53.779973190961414,-3.3280483084555987],[-53.8294789557961,-3.559679826510496],[-53.83249091643507,-3.574039130881949],[-53.8346603929052,-3.584765587695291],[-53.82073108221181,-3.5878098081490832],[-52.45480336023428,-3.8833665405813607],[-52.198485013725154,-3.938588518831004],[-52.196886377823034,-3.9385908232287536],[-52.19520846163167,-3.9307814608774367],[-52.01299246433307,-3.0726897698203817],[-51.8312827458952,-2.214456524296238],[-51.82841122217659,-2.200693128170248]]]}"
1_1_LC08_227061_20170718,0.81,0.81,1.016267,2_23_0_1a,8.934,7.017,5.529,9.0,9.0,LC08_L1TP_227061_20170718_20170727_01_T1,1.501196033E12,generate_pixel_qa_1.6.0,LANDSAT_8,2017-07-18T13:47:40.3345040Z,49.904366,35.899845,LaSRC_1.3.0,227.0,61.0,522908374,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-55.06367737966126,-2.1388003429762517, -55.063150149219794,-2.139329465576294, -53.47318419373091,-2.484018160941811, -53.429767424767824,-2.493388085974137, -53.42854102138994,-2.493384762796854, -53.420950705891684,-2.457936147920745, -53.3520228868036,-2.1335248908715143, -53.27874933752826,-1.7880251408666987, -53.27128336678115,-1.7528007764347397, -53.13950212721072,-1.1312900995989497, -53.063467179958195,-0.7722837258309082, -53.05998764768872,-0.7550079613192543, -53.11122883940378,-0.744002974904709, -53.225582223893085,-0.7194579037008484, -54.011325017044236,-0.550640542583523, -54.572342600247794,-0.4299538600220926, -54.69189981050143,-0.4042213801080188, -54.69334542969892,-0.4042217814915141, -54.699808981115915,-0.4342688387233505, -54.88146046135924,-1.2843637707319444, -55.06367737966126,-2.1388003429762517)",LANDSAT/LC08/C01/T1_SR/LC08_227061_20170718,1.50038566033E12,1522719809232873,"{""type"":""Polygon"",""coordinates"":[[[-55.06367737966126,-2.1388003429762517],[-55.063150149219794,-2.139329465576294],[-53.47318419373091,-2.484018160941811],[-53.429767424767824,-2.493388085974137],[-53.42854102138994,-2.493384762796854],[-53.420950705891684,-2.457936147920745],[-53.3520228868036,-2.1335248908715143],[-53.27874933752826,-1.7880251408666987],[-53.27128336678115,-1.7528007764347397],[-53.13950212721072,-1.1312900995989497],[-53.063467179958195,-0.7722837258309082],[-53.05998764768872,-0.7550079613192543],[-53.11122883940378,-0.744002974904709],[-53.225582223893085,-0.7194579037008484],[-54.011325017044236,-0.550640542583523],[-54.572342600247794,-0.4299538600220926],[-54.69189981050143,-0.4042213801080188],[-54.69334542969892,-0.4042217814915141],[-54.699808981115915,-0.4342688387233505],[-54.88146046135924,-1.2843637707319444],[-55.06367737966126,-2.1388003429762517]]]}"
1_1_LC08_227061_20170819,7.86,7.86,1.011977,2_23_0_1a,8.943,7.197,5.308,9.0,9.0,LC08_L1TP_227061_20170819_20170826_01_T1,1.503750946E12,generate_pixel_qa_1.6.0,LANDSAT_8,2017-08-19T13:47:53.1443150Z,62.373394,31.119667,LaSRC_1.3.0,227.0,61.0,597928703,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-54.690337045960675,-0.40693892874926113, -54.704293510190354,-0.4039537000105224, -54.70596569041154,-0.40395422315649493, -54.707358697214005,-0.4101329577149331, -54.71247052760593,-0.4340016573265494, -54.894394904704875,-1.2854594335914649, -55.07635276102855,-2.1387573729215332, -55.04531332044852,-2.145517767436019, -53.535433410700215,-2.472805440389852, -53.442427418146394,-2.49288077622797, -53.440943206096776,-2.492876741840711, -53.43280879373052,-2.4549883937372066, -53.367454920192074,-2.147313671254866, -53.307494466310224,-1.8645881359628953, -53.27219744976549,-1.6980929470632131, -53.15469876887382,-1.1440680601227307, -53.077901618680166,-0.7811190988473563, -53.07253916444625,-0.7557005734477364, -53.07254014873812,-0.7545931579088646, -53.587022583932836,-0.6441542775887202, -54.690337045960675,-0.40693892874926113)",LANDSAT/LC08/C01/T1_SR/LC08_227061_20170819,1.50315047314E12,1522719810810822,"{""type"":""Polygon"",""coordinates"":[[[-54.690337045960675,-0.40693892874926113],[-54.704293510190354,-0.4039537000105224],[-54.70596569041154,-0.40395422315649493],[-54.707358697214005,-0.4101329577149331],[-54.71247052760593,-0.4340016573265494],[-54.894394904704875,-1.2854594335914649],[-55.07635276102855,-2.1387573729215332],[-55.04531332044852,-2.145517767436019],[-53.535433410700215,-2.472805440389852],[-53.442427418146394,-2.49288077622797],[-53.440943206096776,-2.492876741840711],[-53.43280879373052,-2.4549883937372066],[-53.367454920192074,-2.147313671254866],[-53.307494466310224,-1.8645881359628953],[-53.27219744976549,-1.6980929470632131],[-53.15469876887382,-1.1440680601227307],[-53.077901618680166,-0.7811190988473563],[-53.07253916444625,-0.7557005734477364],[-53.07254014873812,-0.7545931579088646],[-53.587022583932836,-0.6441542775887202],[-54.690337045960675,-0.40693892874926113]]]}"
1_1_LC08_227061_20170904,15.25,15.25,1.008342,2_23_0_1a,8.843,6.736,5.729,9.0,9.0,LC08_L1TP_227061_20170904_20170916_01_T1,1.505591657E12,generate_pixel_qa_1.6.0,LANDSAT_8,2017-09-04T13:47:55.6655020Z,72.19529,28.049431,LaSRC_1.3.0,227.0,61.0,594747819,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.29372992930756,-1.833557913447017, -53.28413205935006,-1.7883069722799838, -53.28039912115582,-1.770694628453987, -53.148237009029465,-1.1475797272920683, -53.06849621513051,-0.7710913595078424, -53.0651744887168,-0.7552126571264833, -53.06599465407213,-0.7548008024612479, -53.10369451865015,-0.7467041480443194, -54.20171591880525,-0.5108829609649922, -54.69763226692816,-0.40422302681687083, -54.69872928616669,-0.4042233315696141, -54.70438975889842,-0.43047336422162247, -54.885910574617455,-1.2800277456892342, -55.069044935420315,-2.1388323614194693, -55.06857420905779,-2.139304802980986, -55.045045093884845,-2.1444324167594617, -53.58691356253799,-2.4604768460200686, -53.43383645809679,-2.493522415562233, -53.42633568860051,-2.4584924429660724, -53.35429149096505,-2.1191952069131887, -53.29372992930756,-1.833557913447017)",LANDSAT/LC08/C01/T1_SR/LC08_227061_20170904,1.50453287566E12,1522719812368662,"{""type"":""Polygon"",""coordinates"":[[[-53.29372992930756,-1.833557913447017],[-53.28413205935006,-1.7883069722799838],[-53.28039912115582,-1.770694628453987],[-53.148237009029465,-1.1475797272920683],[-53.06849621513051,-0.7710913595078424],[-53.0651744887168,-0.7552126571264833],[-53.06599465407213,-0.7548008024612479],[-53.10369451865015,-0.7467041480443194],[-54.20171591880525,-0.5108829609649922],[-54.69763226692816,-0.40422302681687083],[-54.69872928616669,-0.4042233315696141],[-54.70438975889842,-0.43047336422162247],[-54.885910574617455,-1.2800277456892342],[-55.069044935420315,-2.1388323614194693],[-55.06857420905779,-2.139304802980986],[-55.045045093884845,-2.1444324167594617],[-53.58691356253799,-2.4604768460200686],[-53.43383645809679,-2.493522415562233],[-53.42633568860051,-2.4584924429660724],[-53.35429149096505,-2.1191952069131887],[-53.29372992930756,-1.833557913447017]]]}"
1_1_LC08_227061_20171022,10.28,10.28,0.99511,2_23_0_1a,9.022,6.892,5.821,9.0,9.0,LC08_L1TP_227061_20171022_20171107_01_T1,1.510018814E12,generate_pixel_qa_1.6.0,LANDSAT_8,2017-10-22T13:48:07.2766850Z,114.04184,24.991173,LaSRC_1.3.0,227.0,61.0,610052295,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.09162206386767,-0.7541701011931367, -53.12252384858755,-0.7475332697139216, -53.31249504944876,-0.7067994321642056, -54.495837154826575,-0.4527062091813811, -54.723256339291545,-0.40381659790387575, -54.724973060336,-0.4113153415886425, -54.90949441882046,-1.2753005853105883, -55.093609201930676,-2.1390684061100074, -54.685268713585884,-2.2277263679515644, -53.827869702867105,-2.413379897122453, -53.458620133085226,-2.493105738729945, -53.457233470030545,-2.4867490069300455, -53.445171206142255,-2.430282266566414, -53.36379990887874,-2.0468754087725425, -53.30009595712011,-1.7463579038960828, -53.29102755983866,-1.70354630580606, -53.17245555444724,-1.1443628338329723, -53.16157655825808,-1.0931145058872451, -53.1537354713753,-1.0560554872770542, -53.095387400495916,-0.7797809838766709, -53.090198010943936,-0.7546465137994951, -53.09162206386767,-0.7541701011931367)",LANDSAT/LC08/C01/T1_SR/LC08_227061_20171022,1.50868008728E12,1522719815298100,"{""type"":""Polygon"",""coordinates"":[[[-53.09162206386767,-0.7541701011931367],[-53.12252384858755,-0.7475332697139216],[-53.31249504944876,-0.7067994321642056],[-54.495837154826575,-0.4527062091813811],[-54.723256339291545,-0.40381659790387575],[-54.724973060336,-0.4113153415886425],[-54.90949441882046,-1.2753005853105883],[-55.093609201930676,-2.1390684061100074],[-54.685268713585884,-2.2277263679515644],[-53.827869702867105,-2.413379897122453],[-53.458620133085226,-2.493105738729945],[-53.457233470030545,-2.4867490069300455],[-53.445171206142255,-2.430282266566414],[-53.36379990887874,-2.0468754087725425],[-53.30009595712011,-1.7463579038960828],[-53.29102755983866,-1.70354630580606],[-53.17245555444724,-1.1443628338329723],[-53.16157655825808,-1.0931145058872451],[-53.1537354713753,-1.0560554872770542],[-53.095387400495916,-0.7797809838766709],[-53.090198010943936,-0.7546465137994951],[-53.09162206386767,-0.7541701011931367]]]}"
1_1_LC08_227062_20170718,0.08,0.08,1.016267,2_23_0_1a,9.496,7.546,5.765,9.0,9.0,LC08_L1TP_227062_20170718_20170727_01_T1,1.501196226E12,generate_pixel_qa_1.6.0,LANDSAT_8,2017-07-18T13:48:04.2551950Z,48.612137,37.001415,LaSRC_1.3.0,227.0,62.0,503897112,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.73504269419331,-3.939814567253023, -53.73465864177683,-3.938245621858442, -53.71305053619046,-3.836578133472191, -53.69729592179775,-3.762242217400585, -53.57424196555899,-3.181986396235182, -53.48501760743701,-2.7607045423646257, -53.366515045430695,-2.201669289048745, -53.36739521518798,-2.201229277826864, -53.503736468351704,-2.172028155015973, -54.07179303476617,-2.0501829843941812, -55.000633249850154,-1.8503483890391064, -55.00210684841422,-1.8503500401873327, -55.183916353853604,-2.7004034256239575, -55.365765938725694,-3.551359152912664, -55.37296289511377,-3.585141283357876, -55.288795078674084,-3.6034587270236162, -54.75477297339044,-3.7194527325764106, -54.11574040875037,-3.857728151405666, -53.83272573365923,-3.918774865595274, -53.73504269419331,-3.939814567253023)",LANDSAT/LC08/C01/T1_SR/LC08_227062_20170718,1.50038568426E12,1522719855200881,"{""type"":""Polygon"",""coordinates"":[[[-53.73504269419331,-3.939814567253023],[-53.73465864177683,-3.938245621858442],[-53.71305053619046,-3.836578133472191],[-53.69729592179775,-3.762242217400585],[-53.57424196555899,-3.181986396235182],[-53.48501760743701,-2.7607045423646257],[-53.366515045430695,-2.201669289048745],[-53.36739521518798,-2.201229277826864],[-53.503736468351704,-2.172028155015973],[-54.07179303476617,-2.0501829843941812],[-55.000633249850154,-1.8503483890391064],[-55.00210684841422,-1.8503500401873327],[-55.183916353853604,-2.7004034256239575],[-55.365765938725694,-3.551359152912664],[-55.37296289511377,-3.585141283357876],[-55.288795078674084,-3.6034587270236162],[-54.75477297339044,-3.7194527325764106],[-54.11574040875037,-3.857728151405666],[-53.83272573365923,-3.918774865595274],[-53.73504269419331,-3.939814567253023]]]}"
1_1_LC08_227062_20170819,8.35,8.35,1.011977,2_23_0_1a,9.747,7.698,5.979,9.0,9.0,LC08_L1TP_227062_20170819_20170826_01_T1,1.503750966E12,generate_pixel_qa_1.6.0,LANDSAT_8,2017-08-19T13:48:17.0650049Z,60.474876,31.994118,LaSRC_1.3.0,227.0,62.0,584686548,"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]",<Element>,"LinearRing(-53.747692092574084,-3.9393686088570066, -53.7473616089596,-3.939190330546377, -53.74696557674867,-3.9379812344092464, -53.72136446332831,-3.8173391722252945, -53.58531410451783,-3.1755209734839887, -53.498474309871405,-2.76534990093696, -53.384910506464465,-2.2294919133719295, -53.378924929440046,-2.2010529474609584, -55.00106417115454,-1.852524980600236, -55.0136758570859,-1.8498206316033903, -55.014528754549815,-1.8498215391760888, -55.01490467453349,-1.8509607348632942, -55.19994377762475,-2.716432861122202, -55.38516935728854,-3.583496185697847, -55.385167583963025,-3.584546984788356, -55.38444812345053,-3.584906822632637, -55.379001612176204,-3.586112743648263, -55.29797496965609,-3.603747276149035, -55.047031790579915,-3.6583056253018547, -53.779700114855196,-3.932485406685723, -53.747692092574084,-3.9393686088570066)",LANDSAT/LC08/C01/T1_SR/LC08_227062_20170819,1.50315049706E12,1522719856405430,"{""type"":""Polygon"",""coordinates"":[[[-53.747692092574084,-3.9393686088570066],[-53.7473616089596,-3.939190330546377],[-53.74696557674867,-3.9379812344092464],[-53.72136446332831,-3.8173391722252945],[-53.58531410451783,-3.1755209734839887],[-53.498474309871405,-2.76534990093696],[-53.384910506464465,-2.2294919133719295],[-53.378924929440046,-2.2010529474609584],[-55.00106417115454,-1.852524980600236],[-55.0136758570859,-1.8498206316033903],[-55.014528754549815,-1.8498215391760888],[-55.01490467453349,-1.8509607348632942],[-55.19994377762475,-2.716432861122202],[-55.38516935728854,-3.583496185697847],[-55.385167583963025,-3.584546984788356],[-55.38444812345053,-3.584906822632637],[-55.379001612176204,-3.586112743648263],[-55.29797496965609,-3.603747276149035],[-55.047031790579915,-3.6583056253018547],[-53.779700114855196,-3.932485406685723],[-53.747692092574084,-3.9393686088570066]]]}"
