"";"system:index";"CLOUD_COVER";"CLOUD_COVER_LAND";"EARTH_SUN_DISTANCE";"ESPA_VERSION";"GEOMETRIC_RMSE_MODEL";"GEOMETRIC_RMSE_MODEL_X";"GEOMETRIC_RMSE_MODEL_Y";"IMAGE_QUALITY";"LANDSAT_ID";"LEVEL1_PRODUCTION_DATE";"PIXEL_QA_VERSION";"SATELLITE";"SENSING_TIME";"SOLAR_AZIMUTH_ANGLE";"SOLAR_ZENITH_ANGLE";"SR_APP_VERSION";"WRS_PATH";"WRS_ROW";"system:asset_size";"system:band_names";"system:bands";"system:footprint";"system:id";"system:time_start";"system:version";".geo";"IMAGE_QUALITY_OLI";"IMAGE_QUALITY_TIRS";"system:time_end"
"1";"2_LT05_226062_19880711";4;4;1,016596;"2_19_0c";6,93;5,408;4,334;9;"LT05_L1TP_226062_19880711_20170208_01_T1";1486534284000;"generate_pixel_qa_1.5.0";"LANDSAT_5";1988-07-11 13:12:43;52,929096;43,168095;"LEDAPS_3.2.0";226;62;272632658;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-51.88377732171954,-2.203752339807114, -51.88417992985272,-2.2004965815999693, -52.498756581645594,-2.111317934953453, -53.52390271132871,-1.9620625256168405, -53.52818257148365,-1.963900274413089, -53.53266289817967,-1.9835959296097838, -53.57301544261612,-2.172205316775445, -53.661810311838195,-2.588492379773705, -53.792898051278925,-3.2015223666013335, -53.84341125192098,-3.438194572812775, -53.87121373671602,-3.568714372473788, -53.869914976707264,-3.572338232489252, -53.675739282968095,-3.6007474862048374, -53.143218602957035,-3.678400355682823, -52.22537374182482,-3.8114354689826433, -52.22179481464093,-3.796634096632748, -52.18305876160569,-3.6152982463130585, -52.04230220688826,-2.9525816144996204, -51.90360813305721,-2.2981188267488597, -51.88377732171954,-2.203752339807114)";"LANDSAT/LT05/C01/T1_SR/LT05_226062_19880711";584629963513;1521903430650724;"{""type"":""Polygon"",""coordinates"":[[[-51.88377732171954,-2.203752339807114],[-51.88417992985272,-2.2004965815999693],[-52.498756581645594,-2.111317934953453],[-53.52390271132871,-1.9620625256168405],[-53.52818257148365,-1.963900274413089],[-53.53266289817967,-1.9835959296097838],[-53.57301544261612,-2.172205316775445],[-53.661810311838195,-2.588492379773705],[-53.792898051278925,-3.2015223666013335],[-53.84341125192098,-3.438194572812775],[-53.87121373671602,-3.568714372473788],[-53.869914976707264,-3.572338232489252],[-53.675739282968095,-3.6007474862048374],[-53.143218602957035,-3.678400355682823],[-52.22537374182482,-3.8114354689826433],[-52.22179481464093,-3.796634096632748],[-52.18305876160569,-3.6152982463130585],[-52.04230220688826,-2.9525816144996204],[-51.90360813305721,-2.2981188267488597],[-51.88377732171954,-2.203752339807114]]]}";NA;NA;NA
"2";"2_LT05_227061_19880718";14;14;1,016246;"2_19_0c";4,323;2,876;3,227;9;"LT05_L1TP_227061_19880718_20170208_01_T1";1486527772000;"generate_pixel_qa_1.5.0";"LANDSAT_5";1988-07-18 13:18:31;55,617058;41,755028;"LEDAPS_3.2.0";227;61;320565525;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.120691184740735,-0.7537783369296378, -53.120692990460135,-0.7517727731306759, -53.20922576292607,-0.7388828996988599, -53.75622002142863,-0.6592587485800706, -54.272256586680946,-0.5841099222068294, -54.757075081386766,-0.5134653631121858, -54.7609066217272,-0.5152472355150545, -54.76754220277591,-0.5450537822449487, -54.92995183611204,-1.304746708457387, -55.09092384710322,-2.0589940096382833, -55.103646055750104,-2.120364699959457, -55.10229996869935,-2.12407470933603, -53.46169688811018,-2.363144331201022, -53.45973241725294,-2.354288702843701, -53.4261844544956,-2.1981712452313076, -53.367306934220984,-1.9203877572463475, -53.236475413152995,-1.303383308258999, -53.177984080045356,-1.0271089200702106, -53.137567814700404,-0.8361465526694597, -53.122969381258635,-0.7658773249599812, -53.120691184740735,-0.7537783369296378)";"LANDSAT/LT05/C01/T1_SR/LT05_227061_19880718";585235111545;1521902127123938;"{""type"":""Polygon"",""coordinates"":[[[-53.120691184740735,-0.7537783369296378],[-53.120692990460135,-0.7517727731306759],[-53.20922576292607,-0.7388828996988599],[-53.75622002142863,-0.6592587485800706],[-54.272256586680946,-0.5841099222068294],[-54.757075081386766,-0.5134653631121858],[-54.7609066217272,-0.5152472355150545],[-54.76754220277591,-0.5450537822449487],[-54.92995183611204,-1.304746708457387],[-55.09092384710322,-2.0589940096382833],[-55.103646055750104,-2.120364699959457],[-55.10229996869935,-2.12407470933603],[-53.46169688811018,-2.363144331201022],[-53.45973241725294,-2.354288702843701],[-53.4261844544956,-2.1981712452313076],[-53.367306934220984,-1.9203877572463475],[-53.236475413152995,-1.303383308258999],[-53.177984080045356,-1.0271089200702106],[-53.137567814700404,-0.8361465526694597],[-53.122969381258635,-0.7658773249599812],[-53.120691184740735,-0.7537783369296378]]]}";NA;NA;NA
"3";"2_LT05_227061_19880920";19;19;1,004053;"2_19_0c";4,683;3,251;3,371;9;"LT05_L1TP_227061_19880920_20170206_01_T1";1486398799000;"generate_pixel_qa_1.5.0";"LANDSAT_5";1988-09-20 13:18:32;86,143639;32,870205;"LEDAPS_3.2.0";227;61;336371327;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-55.08601058040431,-2.108901722587311, -55.08961448444291,-2.126864635942081, -55.08828477701335,-2.1305291666769035, -53.43922508486026,-2.370613489106499, -53.43099739229788,-2.3335209166623168, -53.331885202033654,-1.8666817355987553, -53.29348443479828,-1.6854043863809383, -53.13833632860132,-0.9542015787783485, -53.10310246413717,-0.7873418026170034, -53.097970048054016,-0.7606894638554451, -53.75718377803147,-0.6646944698806361, -54.74319031459053,-0.5209995977293417, -54.7475550039083,-0.522884551570342, -54.76064114919129,-0.5837242306928331, -54.890293005022464,-1.1903888516902144, -55.01977740815521,-1.7971463686443236, -55.05866314459281,-1.9797465462286836, -55.08601058040431,-2.108901722587311)";"LANDSAT/LT05/C01/T1_SR/LT05_227061_19880920";590764712178;1521902130569125;"{""type"":""Polygon"",""coordinates"":[[[-55.08601058040431,-2.108901722587311],[-55.08961448444291,-2.126864635942081],[-55.08828477701335,-2.1305291666769035],[-53.43922508486026,-2.370613489106499],[-53.43099739229788,-2.3335209166623168],[-53.331885202033654,-1.8666817355987553],[-53.29348443479828,-1.6854043863809383],[-53.13833632860132,-0.9542015787783485],[-53.10310246413717,-0.7873418026170034],[-53.097970048054016,-0.7606894638554451],[-53.75718377803147,-0.6646944698806361],[-54.74319031459053,-0.5209995977293417],[-54.7475550039083,-0.522884551570342],[-54.76064114919129,-0.5837242306928331],[-54.890293005022464,-1.1903888516902144],[-55.01977740815521,-1.7971463686443236],[-55.05866314459281,-1.9797465462286836],[-55.08601058040431,-2.108901722587311]]]}";NA;NA;NA
"4";"2_LT05_227062_19880803";0;0;1,014601;"2_19_0c";4,757;3,573;3,141;9;"LT05_L1TP_227062_19880803_20170207_01_T1";1486509483000;"generate_pixel_qa_1.5.0";"LANDSAT_5";1988-08-03 13:18:56;59,144417;41,062256;"LEDAPS_3.2.0";227;62;249762603;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.68761068110415,-3.4579218707332657, -53.619669796866674,-3.1371612734957224, -53.48919306512262,-2.5212386475227677, -53.43038318901436,-2.2436890384557753, -53.42452238290376,-2.2150409679529077, -53.42453128367016,-2.211336266465683, -54.07599901694102,-2.116597437986694, -55.062744654287236,-1.9726143224743056, -55.06672430922018,-1.9744680271990402, -55.06890308623594,-1.9832800531836579, -55.08392115022802,-2.052474025923251, -55.2462055035476,-2.811315607972409, -55.408408768966815,-3.570260538964369, -55.41012725962837,-3.5795581409432446, -55.40878625118009,-3.583243595721757, -53.76511058179485,-3.822678543544935, -53.755322082320355,-3.777107381551066, -53.73906216089005,-3.700890195733517, -53.68761068110415,-3.4579218707332657)";"LANDSAT/LT05/C01/T1_SR/LT05_227062_19880803";586617536935;1538944379840801;"{""type"":""Polygon"",""coordinates"":[[[-53.68761068110415,-3.4579218707332657],[-53.619669796866674,-3.1371612734957224],[-53.48919306512262,-2.5212386475227677],[-53.43038318901436,-2.2436890384557753],[-53.42452238290376,-2.2150409679529077],[-53.42453128367016,-2.211336266465683],[-54.07599901694102,-2.116597437986694],[-55.062744654287236,-1.9726143224743056],[-55.06672430922018,-1.9744680271990402],[-55.06890308623594,-1.9832800531836579],[-55.08392115022802,-2.052474025923251],[-55.2462055035476,-2.811315607972409],[-55.408408768966815,-3.570260538964369],[-55.41012725962837,-3.5795581409432446],[-55.40878625118009,-3.583243595721757],[-53.76511058179485,-3.822678543544935],[-53.755322082320355,-3.777107381551066],[-53.73906216089005,-3.700890195733517],[-53.68761068110415,-3.4579218707332657]]]}";NA;NA;NA
"5";"2_LT05_227062_19880819";0;0;1,011884;"2_19_0c";5,057;3,468;3,681;9;"LT05_L1TP_227062_19880819_20170206_01_T1";1486384666000;"generate_pixel_qa_1.5.0";"LANDSAT_5";1988-08-19 13:18:57;65,56868;38,559208;"LEDAPS_3.2.0";227;62;253990031;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.75626918985746,-3.817367752360671, -53.75531231497254,-3.816399304730905, -53.74952107568041,-3.7903506966924536, -53.6118411620297,-3.1409289136037675, -53.517268957086564,-2.694155960652118, -53.42256489924329,-2.2474627068844217, -53.414731107593795,-2.209945915652997, -53.41518243428659,-2.206821612264693, -54.054719248983936,-2.1138463524473394, -55.05672429237806,-1.9676805667411483, -55.06080192301646,-1.9695798723220352, -55.06485451106688,-1.987618104408291, -55.08219637825605,-2.0671141638102015, -55.20129191154323,-2.624199897110837, -55.31702839366418,-3.1658670807240887, -55.37622524806069,-3.443232052993379, -55.39658128723668,-3.539037106903169, -55.40392167904611,-3.574026717946231, -55.402935840872246,-3.5776339303391977, -53.75626918985746,-3.817367752360671)";"LANDSAT/LT05/C01/T1_SR/LT05_227062_19880819";587999937448;1538944382653489;"{""type"":""Polygon"",""coordinates"":[[[-53.75626918985746,-3.817367752360671],[-53.75531231497254,-3.816399304730905],[-53.74952107568041,-3.7903506966924536],[-53.6118411620297,-3.1409289136037675],[-53.517268957086564,-2.694155960652118],[-53.42256489924329,-2.2474627068844217],[-53.414731107593795,-2.209945915652997],[-53.41518243428659,-2.206821612264693],[-54.054719248983936,-2.1138463524473394],[-55.05672429237806,-1.9676805667411483],[-55.06080192301646,-1.9695798723220352],[-55.06485451106688,-1.987618104408291],[-55.08219637825605,-2.0671141638102015],[-55.20129191154323,-2.624199897110837],[-55.31702839366418,-3.1658670807240887],[-55.37622524806069,-3.443232052993379],[-55.39658128723668,-3.539037106903169],[-55.40392167904611,-3.574026717946231],[-55.402935840872246,-3.5776339303391977],[-53.75626918985746,-3.817367752360671]]]}";NA;NA;NA
"6";"2_LT05_227062_19880904";10;10;1,008283;"2_19_0c";6,584;4,32;4,969;9;"LT05_L1TP_227062_19880904_20170206_01_T1";1486357371000;"generate_pixel_qa_1.5.0";"LANDSAT_5";1988-09-04 13:19:00;73,8172;35,723202;"LEDAPS_3.2.0";227;62;288707328;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-54.61537683930125,-2.035901760941815, -55.07049557990847,-1.9694472325588326, -55.0742792184736,-1.9715027374526766, -55.076455665389844,-1.9803052075957521, -55.08959647548222,-2.041359220748156, -55.24880527717144,-2.786632559062277, -55.40793356097109,-3.5320025135560695, -55.41516593963591,-3.566201456119976, -55.41705469614985,-3.5757758396206447, -55.415862592813774,-3.5790522349074374, -53.76515122908174,-3.8195526198495293, -53.757368037948616,-3.783876366294979, -53.619678472753755,-3.134451848603911, -53.534406259082786,-2.7307786823276428, -53.42906289973472,-2.232849607137408, -53.42480028510809,-2.211449785547058, -53.424805806900146,-2.2091507680913707, -53.53814682523743,-2.1926891355952174, -54.07563854286612,-2.114540826877626, -54.61537683930125,-2.035901760941815)";"LANDSAT/LT05/C01/T1_SR/LT05_227062_19880904";589382340733;1521902310760835;"{""type"":""Polygon"",""coordinates"":[[[-54.61537683930125,-2.035901760941815],[-55.07049557990847,-1.9694472325588326],[-55.0742792184736,-1.9715027374526766],[-55.076455665389844,-1.9803052075957521],[-55.08959647548222,-2.041359220748156],[-55.24880527717144,-2.786632559062277],[-55.40793356097109,-3.5320025135560695],[-55.41516593963591,-3.566201456119976],[-55.41705469614985,-3.5757758396206447],[-55.415862592813774,-3.5790522349074374],[-53.76515122908174,-3.8195526198495293],[-53.757368037948616,-3.783876366294979],[-53.619678472753755,-3.134451848603911],[-53.534406259082786,-2.7307786823276428],[-53.42906289973472,-2.232849607137408],[-53.42480028510809,-2.211449785547058],[-53.424805806900146,-2.2091507680913707],[-53.53814682523743,-2.1926891355952174],[-54.07563854286612,-2.114540826877626],[-54.61537683930125,-2.035901760941815]]]}";NA;NA;NA
"7";"2_LT05_227062_19890822";1;1;1,011323;"2_19_0c";4,782;3,377;3,386;9;"LT05_L1TP_227062_19890822_20170202_01_T1";1485997264000;"generate_pixel_qa_1.5.0";"LANDSAT_5";1989-08-22 13:14:46;67,418739;39,054241;"LEDAPS_3.2.0";227;62;255100563;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.76645443718582,-3.819349650230546, -53.76386865610398,-3.807450154138124, -53.75527225230461,-3.7670673130178884, -53.67650671643353,-3.393937685745525, -53.61785077437606,-3.1160219644497675, -53.531777986426505,-2.7077431556967366, -53.445595841093976,-2.2995304906980807, -53.42749249534847,-2.2133341511658817, -53.42695908951019,-2.209512437602971, -53.426965105964065,-2.2070036373907054, -53.49305603533671,-2.197447748436504, -54.01536838309031,-2.1219020288764603, -55.072089365541466,-1.9685602091269994, -55.07734655480885,-1.9704339448497281, -55.08290876701664,-1.9963216329995805, -55.25109915620776,-2.7862292632695915, -55.41932828651749,-3.5768536212148216, -55.417928256717445,-3.580352912258082, -55.25799490458384,-3.6036747795108472, -53.7682035622675,-3.8193562548109603, -53.76645443718582,-3.819349650230546)";"LANDSAT/LT05/C01/T1_SR/LT05_227062_19890822";619794886441;1521902312619192;"{""type"":""Polygon"",""coordinates"":[[[-53.76645443718582,-3.819349650230546],[-53.76386865610398,-3.807450154138124],[-53.75527225230461,-3.7670673130178884],[-53.67650671643353,-3.393937685745525],[-53.61785077437606,-3.1160219644497675],[-53.531777986426505,-2.7077431556967366],[-53.445595841093976,-2.2995304906980807],[-53.42749249534847,-2.2133341511658817],[-53.42695908951019,-2.209512437602971],[-53.426965105964065,-2.2070036373907054],[-53.49305603533671,-2.197447748436504],[-54.01536838309031,-2.1219020288764603],[-55.072089365541466,-1.9685602091269994],[-55.07734655480885,-1.9704339448497281],[-55.08290876701664,-1.9963216329995805],[-55.25109915620776,-2.7862292632695915],[-55.41932828651749,-3.5768536212148216],[-55.417928256717445,-3.580352912258082],[-55.25799490458384,-3.6036747795108472],[-53.7682035622675,-3.8193562548109603],[-53.76645443718582,-3.819349650230546]]]}";NA;NA;NA
"8";"2_LT05_226062_19900919";17;17;1,004474;"2_19_0c";8,121;3,519;7,319;9;"LT05_L1TP_226062_19900919_20170128_01_T1";1485608519000;"generate_pixel_qa_1.5.0";"LANDSAT_5";1990-09-19 13:01:49;83,554855;36,14286;"LEDAPS_3.2.0";226;62;364092625;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-53.8762079522633,-3.5739702218817144, -53.875306709789974,-3.5773317635338158, -53.52412181091494,-3.6284950864415113, -52.226367065529764,-3.8161594193876205, -52.22340326646615,-3.807565568226838, -52.062231737495594,-3.0468619601917726, -51.90146723903106,-2.2860597052359823, -51.885228722380276,-2.2076193632115557, -51.88490369496691,-2.201155829963178, -52.0089035861631,-2.183210099494447, -53.38213457373576,-1.9843809953902587, -53.5285433019489,-1.9631541060024886, -53.53248537028572,-1.9649774215765312, -53.53665321778035,-1.9783249853705622, -53.556675999497024,-2.0700111722979426, -53.647466458851866,-2.494985038941748, -53.73723201999362,-2.916636557395467, -53.84142416774511,-3.4048058509673127, -53.8717992510735,-3.5476269213444915, -53.8762079522633,-3.5739702218817144)";"LANDSAT/LT05/C01/T1_SR/LT05_226062_19900919";653749309278;1521903436815547;"{""type"":""Polygon"",""coordinates"":[[[-53.8762079522633,-3.5739702218817144],[-53.875306709789974,-3.5773317635338158],[-53.52412181091494,-3.6284950864415113],[-52.226367065529764,-3.8161594193876205],[-52.22340326646615,-3.807565568226838],[-52.062231737495594,-3.0468619601917726],[-51.90146723903106,-2.2860597052359823],[-51.885228722380276,-2.2076193632115557],[-51.88490369496691,-2.201155829963178],[-52.0089035861631,-2.183210099494447],[-53.38213457373576,-1.9843809953902587],[-53.5285433019489,-1.9631541060024886],[-53.53248537028572,-1.9649774215765312],[-53.53665321778035,-1.9783249853705622],[-53.556675999497024,-2.0700111722979426],[-53.647466458851866,-2.494985038941748],[-53.73723201999362,-2.916636557395467],[-53.84142416774511,-3.4048058509673127],[-53.8717992510735,-3.5476269213444915],[-53.8762079522633,-3.5739702218817144]]]}";NA;NA;NA
"9";"2_LT05_227062_19900809";6;6;1,013783;"2_19_0c";5,784;3,481;4,619;9;"LT05_L1TP_227062_19900809_20170129_01_T1";1485648236000;"generate_pixel_qa_1.5.0";"LANDSAT_5";1990-08-09 13:08:12;62,729752;42,644859;"LEDAPS_3.2.0";227;62;278095229;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-55.06998900415788,-1.9743181539985277, -55.07213875377095,-1.9830128166173389, -55.098149562623924,-2.104031832397757, -55.23282966551024,-2.7345221459347817, -55.3674476207381,-3.3650826033143293, -55.411849923232175,-3.573606824697294, -55.409572811454396,-3.5771884285155715, -55.283263996464434,-3.5956925683513554, -53.76155588992592,-3.816931883203873, -53.75837303208884,-3.803935739396491, -53.71382223213605,-3.5953921327783247, -53.64829138651471,-3.286816347240913, -53.537014483857796,-2.760587092672631, -53.42555792822197,-2.234464441564943, -53.41957899434788,-2.201951920029811, -53.54148567602299,-2.184251595973092, -54.057961050027764,-2.1092445525199612, -55.06302530368527,-1.9628491400607215, -55.06699639037341,-1.9646988616091585, -55.06998900415788,-1.9743181539985277)";"LANDSAT/LT05/C01/T1_SR/LT05_227062_19900809";650207292056;1521902314454316;"{""type"":""Polygon"",""coordinates"":[[[-55.06998900415788,-1.9743181539985277],[-55.07213875377095,-1.9830128166173389],[-55.098149562623924,-2.104031832397757],[-55.23282966551024,-2.7345221459347817],[-55.3674476207381,-3.3650826033143293],[-55.411849923232175,-3.573606824697294],[-55.409572811454396,-3.5771884285155715],[-55.283263996464434,-3.5956925683513554],[-53.76155588992592,-3.816931883203873],[-53.75837303208884,-3.803935739396491],[-53.71382223213605,-3.5953921327783247],[-53.64829138651471,-3.286816347240913],[-53.537014483857796,-2.760587092672631],[-53.42555792822197,-2.234464441564943],[-53.41957899434788,-2.201951920029811],[-53.54148567602299,-2.184251595973092],[-54.057961050027764,-2.1092445525199612],[-55.06302530368527,-1.9628491400607215],[-55.06699639037341,-1.9646988616091585],[-55.06998900415788,-1.9743181539985277]]]}";NA;NA;NA
"10";"2_LT05_226061_19910906";18;18;1,007978;"2_19_0c";6,431;3,383;5,469;9;"LT05_L1TP_226061_19910906_20170125_01_T1";1485363068000;"generate_pixel_qa_1.5.0";"LANDSAT_5";1991-09-06 13:05:27;77,078339;36,66087;"LEDAPS_3.2.0";226;61;337220120;"[Blue, Green, Red, NIR, SWIR1, SWIR2, pixel_qa]";"<Element>";"LinearRing(-52.95082905404698,-0.5513420244141047, -53.23751443477174,-0.5095823057612359, -53.24153279622194,-0.5114476036032733, -53.24830989171149,-0.5384241009058629, -53.2877229507667,-0.7203900840441164, -53.380959769311865,-1.1555910290667974, -53.54187758856283,-1.909184964944575, -53.57961402770815,-2.0881429651798764, -53.586527528947926,-2.1228962109134035, -53.58526950584062,-2.1263948301674187, -53.37220067341763,-2.157550857922572, -52.894307096924955,-2.2272489261007777, -51.94200040045826,-2.3656015039845935, -51.937659917700074,-2.348187582089935, -51.8708388428859,-2.034778052098654, -51.71169091992584,-1.286074801624573, -51.63611239421903,-0.9292016049240682, -51.60859002332575,-0.7983890433227168, -51.59968229932111,-0.7546731163713314, -51.599370458246185,-0.7481001097812919, -52.16306864458432,-0.6660646873438787, -52.95082905404698,-0.5513420244141047)";"LANDSAT/LT05/C01/T1_SR/LT05_226061_19910906";684162327431;1521903355701058;"{""type"":""Polygon"",""coordinates"":[[[-52.95082905404698,-0.5513420244141047],[-53.23751443477174,-0.5095823057612359],[-53.24153279622194,-0.5114476036032733],[-53.24830989171149,-0.5384241009058629],[-53.2877229507667,-0.7203900840441164],[-53.380959769311865,-1.1555910290667974],[-53.54187758856283,-1.909184964944575],[-53.57961402770815,-2.0881429651798764],[-53.586527528947926,-2.1228962109134035],[-53.58526950584062,-2.1263948301674187],[-53.37220067341763,-2.157550857922572],[-52.894307096924955,-2.2272489261007777],[-51.94200040045826,-2.3656015039845935],[-51.937659917700074,-2.348187582089935],[-51.8708388428859,-2.034778052098654],[-51.71169091992584,-1.286074801624573],[-51.63611239421903,-0.9292016049240682],[-51.60859002332575,-0.7983890433227168],[-51.59968229932111,-0.7546731163713314],[-51.599370458246185,-0.7481001097812919],[-52.16306864458432,-0.6660646873438787],[-52.95082905404698,-0.5513420244141047]]]}";NA;NA;NA
